"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,7,"Horta-Guinardó",37,"el Carmel","Home","14 anys",154
2020,7,"Horta-Guinardó",38,"la Teixonera","Home","14 anys",58
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","14 anys",43
2020,7,"Horta-Guinardó",40,"Montbau","Home","14 anys",19
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","14 anys",25
2020,7,"Horta-Guinardó",42,"la Clota","Home","14 anys",3
2020,7,"Horta-Guinardó",43,"Horta","Home","14 anys",133
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","14 anys",118
2020,8,"Nou Barris",45,"Porta","Home","14 anys",105
2020,8,"Nou Barris",46,"el Turó de la Peira","Home","14 anys",69
2020,8,"Nou Barris",47,"Can Peguera","Home","14 anys",11
2020,8,"Nou Barris",48,"la Guineueta","Home","14 anys",76
2020,8,"Nou Barris",49,"Canyelles","Home","14 anys",27
2020,8,"Nou Barris",50,"les Roquetes","Home","14 anys",92
2020,8,"Nou Barris",51,"Verdun","Home","14 anys",62
2020,8,"Nou Barris",52,"la Prosperitat","Home","14 anys",116
2020,8,"Nou Barris",53,"la Trinitat Nova","Home","14 anys",40
2020,8,"Nou Barris",54,"Torre Baró","Home","14 anys",26
2020,8,"Nou Barris",55,"Ciutat Meridiana","Home","14 anys",59
2020,8,"Nou Barris",56,"Vallbona","Home","14 anys",10
2020,9,"Sant Andreu",57,"la Trinitat Vella","Home","14 anys",57
2020,9,"Sant Andreu",58,"Baró de Viver","Home","14 anys",14
2020,9,"Sant Andreu",59,"el Bon Pastor","Home","14 anys",70
2020,9,"Sant Andreu",60,"Sant Andreu","Home","14 anys",247
2020,9,"Sant Andreu",61,"la Sagrera","Home","14 anys",116
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Home","14 anys",55
2020,9,"Sant Andreu",63,"Navas","Home","14 anys",94
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","14 anys",116
2020,10,"Sant Martí",65,"el Clot","Home","14 anys",115
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","14 anys",65
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","14 anys",49
2020,10,"Sant Martí",68,"el Poblenou","Home","14 anys",197
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","14 anys",86
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Home","14 anys",124
2020,10,"Sant Martí",71,"Provençals del Poblenou","Home","14 anys",86
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Home","14 anys",130
2020,10,"Sant Martí",73,"la Verneda i la Pau","Home","14 anys",128
2020,1,"Ciutat Vella",1,"el Raval","Home","15 anys",199
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Home","15 anys",38
2020,1,"Ciutat Vella",3,"la Barceloneta","Home","15 anys",44
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","15 anys",64
2020,2,"Eixample",5,"el Fort Pienc","Home","15 anys",129
2020,2,"Eixample",6,"la Sagrada Família","Home","15 anys",173
2020,2,"Eixample",7,"la Dreta de l'Eixample","Home","15 anys",173
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","15 anys",158
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","15 anys",207
2020,2,"Eixample",10,"Sant Antoni","Home","15 anys",126
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Home","15 anys",152
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","15 anys",5
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Home","15 anys",148
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","15 anys",37
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Home","15 anys",58
